country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","03-04-2025 20:00:00",26.259242,78.216432,PM10,74,402,164
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","03-04-2025 20:00:00",23.163174,79.973061,PM2.5,15,150,66
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","03-04-2025 20:00:00",23.142888,79.916147,PM2.5,3,295,119
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","03-04-2025 20:00:00",23.142888,79.916147,PM10,37,136,93
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","03-04-2025 20:00:00",23.142888,79.916147,NH3,2,3,3
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","03-04-2025 20:00:00",22.6780,75.8559,PM10,19,81,56
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","03-04-2025 20:00:00",22.6780,75.8559,SO2,59,62,61
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","03-04-2025 20:00:00",22.7084,75.8815,PM2.5,30,90,52
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","03-04-2025 20:00:00",22.4310,75.5213,PM10,77,174,120
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","03-04-2025 20:00:00",22.4310,75.5213,SO2,10,36,18
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","03-04-2025 20:00:00",26.200388,78.147714,NO2,2,4,3
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","03-04-2025 20:00:00",26.200388,78.147714,CO,2,127,60
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","03-04-2025 20:00:00",23.233584,77.400574,NO2,21,84,41
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","03-04-2025 20:00:00",23.233584,77.400574,SO2,12,34,21
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","03-04-2025 20:00:00",23.210494,77.425409,NO2,16,125,41
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","03-04-2025 20:00:00",23.142888,79.916147,CO,30,108,50
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","03-04-2025 20:00:00",23.838586,78.759431,SO2,4,21,13
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","03-04-2025 20:00:00",23.8640158,78.80289321,NO2,14,44,24
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","03-04-2025 20:00:00",23.8640158,78.80289321,SO2,28,31,29
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","03-04-2025 20:00:00",24.58434363,80.8549414,CO,14,62,20
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","03-04-2025 20:00:00",24.108970,82.645580,PM2.5,59,288,159
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB","03-04-2025 20:00:00",20.939198,77.765701,NO2,7,29,14
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB","03-04-2025 20:00:00",20.939198,77.765701,SO2,1,16,7
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","03-04-2025 20:00:00",19.875620,75.387310,PM2.5,54,163,76
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","03-04-2025 20:00:00",19.875620,75.387310,SO2,3,23,6
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","03-04-2025 20:00:00",19.8389439,75.244448,PM10,44,112,75
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","03-04-2025 20:00:00",19.8389439,75.244448,SO2,23,32,25
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","03-04-2025 20:00:00",23.218135,79.957770,SO2,14,29,21
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","03-04-2025 20:00:00",23.218135,79.957770,CO,20,122,59
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","03-04-2025 20:00:00",23.50016,80.23284,PM10,78,171,104
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","03-04-2025 20:00:00",23.50016,80.23284,NO2,17,59,36
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","03-04-2025 20:00:00",19.16485,73.23409,PM10,74,111,93
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","03-04-2025 20:00:00",19.309073,73.057223,PM2.5,40,170,81
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","03-04-2025 20:00:00",19.786089,72.757971,PM2.5,23,226,93
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","03-04-2025 20:00:00",20.918946,74.776388,PM2.5,NA,NA,NA
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","03-04-2025 20:00:00",20.918946,74.776388,NH3,NA,NA,NA
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","03-04-2025 20:00:00",21.001264,75.565602,NO2,10,54,20
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","03-04-2025 20:00:00",21.001264,75.565602,SO2,8,24,13
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","03-04-2025 20:00:00",19.854616,75.905894,SO2,NA,NA,NA
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","03-04-2025 20:00:00",19.25292,73.142019,PM10,106,130,119
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","03-04-2025 20:00:00",19.25292,73.142019,NO2,5,8,6
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","03-04-2025 20:00:00",20.719516,77.000253,NO2,10,57,25
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","03-04-2025 20:00:00",20.9402359,77.7895248,PM10,68,106,82
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","03-04-2025 20:00:00",23.108440,77.511428,NH3,3,14,5
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","03-04-2025 20:00:00",22.624758,75.675238,SO2,14,37,22
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","03-04-2025 20:00:00",23.50016,80.23284,CO,27,86,41
